GAP_DISTANCE_MINUS_BALL_DIAMETER = 50
Trial 134: 7 bounces
Trial 135: 0 bounces
Trial 136: 17 bounces
Trial 137: 21 bounces
Trial 138: 0 bounces
Trial 139: 10 bounces
Trial 140: 3 bounces
Trial 141: 32 bounces
Trial 142: 13 bounces
Trial 143: 12 bounces
Trial 144: 18 bounces
Trial 145: 10 bounces
Trial 146: 54 bounces
Trial 147: 39 bounces
Trial 148: 0 bounces
Trial 149: 6 bounces
Trial 150: 12 bounces
Trial 151: 10 bounces
Trial 152: 2 bounces
Trial 153: 10 bounces
Trial 154: 6 bounces
Trial 155: 7 bounces
Trial 156: 22 bounces
Trial 157: 4 bounces
Trial 158: 3 bounces
Trial 159: 7 bounces
Trial 160: 51 bounces
Trial 161: 8 bounces
Trial 162: 60 bounces
Trial 163: 37 bounces
Trial 164: 15 bounces
Trial 165: 7 bounces
Trial 166: 3 bounces
Trial 167: 4 bounces
Trial 168: 29 bounces
Trial 169: 11 bounces
Trial 170: 14 bounces
Trial 171: 17 bounces
Trial 172: 25 bounces
Trial 173: 0 bounces
Trial 174: 69 bounces
Trial 175: 20 bounces
Trial 176: 0 bounces
Trial 177: 63 bounces
Trial 178: 6 bounces
Trial 179: 4 bounces
Trial 180: 29 bounces
Trial 181: 31 bounces
Trial 182: 7 bounces
Trial 183: 3 bounces
Trial 184: 7 bounces
Trial 185: 46 bounces
Trial 186: 4 bounces
Trial 187: 0 bounces
Trial 188: 5 bounces
Trial 189: 6 bounces
Trial 190: 18 bounces
Trial 191: 18 bounces
Trial 192: 6 bounces
Trial 193: 28 bounces
Trial 194: 9 bounces
Trial 195: 11 bounces
Trial 196: 30 bounces
Trial 197: 13 bounces
Trial 198: 5 bounces
Trial 199: 26 bounces
Trial 200: 3 bounces
Trial 201: 13 bounces
Trial 202: 19 bounces
Trial 203: 11 bounces
Trial 204: 4 bounces
Trial 205: 24 bounces
Trial 206: 4 bounces
Trial 207: 16 bounces
Trial 208: 33 bounces
Trial 209: 11 bounces
Trial 210: 12 bounces
Trial 211: 8 bounces
Trial 212: 9 bounces
Trial 213: 12 bounces
Trial 214: 15 bounces
Trial 215: 5 bounces
Trial 216: 23 bounces
Trial 217: 6 bounces
Trial 218: 5 bounces
Trial 219: 14 bounces
Trial 220: 2 bounces
Trial 221: 5 bounces
Trial 222: 5 bounces
Trial 223: 22 bounces
Trial 224: 0 bounces
Trial 225: 20 bounces
Trial 226: 3 bounces
Trial 227: 14 bounces
Trial 228: 0 bounces
Trial 229: 2 bounces
Trial 230: 10 bounces
Trial 231: 2 bounces
Trial 232: 0 bounces
Trial 233: 25 bounces
Trial 234: 11 bounces
Trial 235: 26 bounces
Trial 236: 5 bounces
Trial 237: 16 bounces
Trial 238: 6 bounces
Trial 239: 0 bounces
Trial 240: 9 bounces
Trial 241: 11 bounces
Trial 242: 11 bounces
Trial 243: 23 bounces
Trial 244: 5 bounces
Trial 245: 1 bounces
Trial 246: 17 bounces
Trial 247: 26 bounces
Trial 248: 23 bounces
Trial 249: 12 bounces
Trial 250: 24 bounces
Trial 251: 3 bounces
Trial 252: 2 bounces
Trial 253: 21 bounces
Trial 254: 6 bounces
Trial 255: 6 bounces
Trial 256: 6 bounces
Trial 257: 0 bounces
Trial 258: 11 bounces
Trial 259: 7 bounces
Trial 260: 18 bounces
Trial 261: 0 bounces
Trial 262: 8 bounces
Trial 263: 3 bounces
Trial 264: 4 bounces
Trial 265: 8 bounces
Trial 266: 11 bounces
Trial 267: 7 bounces
Trial 268: 0 bounces
Trial 269: 12 bounces
Trial 270: 0 bounces
Trial 271: 41 bounces
Trial 272: 26 bounces
Trial 273: 8 bounces
Trial 274: 20 bounces
Trial 275: 13 bounces
Trial 276: 3 bounces
Trial 277: 0 bounces
Trial 278: 31 bounces
Trial 279: 0 bounces
Trial 280: 0 bounces
Trial 281: 0 bounces
Trial 282: 5 bounces
Trial 283: 26 bounces
Trial 284: 36 bounces
Trial 285: 7 bounces
Trial 286: 9 bounces
Trial 287: 14 bounces
Trial 288: 28 bounces
Trial 289: 1 bounces
Trial 290: 15 bounces
Trial 291: 2 bounces
Trial 292: 26 bounces
Trial 293: 15 bounces
Trial 294: 0 bounces
Trial 295: 7 bounces
Trial 296: 58 bounces
Trial 297: 6 bounces
Trial 298: 2 bounces
Trial 299: 28 bounces
Trial 300: 21 bounces
Trial 301: 13 bounces
Trial 302: 19 bounces
Trial 303: 21 bounces
Trial 304: 12 bounces
Trial 305: 6 bounces
Trial 306: 2 bounces
Trial 307: 10 bounces
Trial 308: 23 bounces
Trial 309: 4 bounces
Trial 310: 5 bounces
Trial 311: 6 bounces
Trial 312: 33 bounces
Trial 313: 3 bounces
Trial 314: 41 bounces
Trial 315: 13 bounces
Trial 316: 42 bounces
Trial 317: 18 bounces
Trial 318: 3 bounces
Trial 319: 20 bounces
Trial 320: 24 bounces
Trial 321: 12 bounces
Trial 322: 5 bounces
Trial 323: 2 bounces
Trial 324: 38 bounces
Trial 325: 0 bounces
Trial 326: 4 bounces
Trial 327: 47 bounces
Trial 328: 0 bounces
Trial 329: 6 bounces
Trial 330: 91 bounces
Trial 331: 24 bounces
Trial 332: 0 bounces
Trial 333: 36 bounces
Trial 334: 39 bounces
Trial 335: 18 bounces
Trial 336: 6 bounces
Trial 337: 12 bounces
Trial 338: 2 bounces
Trial 339: 14 bounces
Trial 340: 6 bounces
Trial 341: 76 bounces
Trial 342: 10 bounces
Trial 343: 13 bounces
Trial 344: 5 bounces
Trial 345: 16 bounces
Trial 346: 6 bounces
Trial 347: 8 bounces
Trial 348: 0 bounces
Trial 349: 16 bounces
Trial 350: 0 bounces
Trial 351: 2 bounces
Trial 352: 17 bounces
Trial 353: 0 bounces
Trial 354: 62 bounces
Trial 355: 10 bounces
Trial 356: 0 bounces
Trial 357: 43 bounces
Trial 358: 2 bounces
Trial 359: 33 bounces
Trial 360: 9 bounces
Trial 361: 7 bounces
Trial 362: 3 bounces
Trial 363: 11 bounces
Trial 364: 14 bounces
Trial 365: 0 bounces
Trial 366: 20 bounces
Trial 367: 12 bounces
Trial 368: 13 bounces
Trial 369: 18 bounces
Trial 370: 13 bounces
Trial 371: 2 bounces
Trial 372: 0 bounces
Trial 373: 1 bounces
Trial 374: 19 bounces
Trial 375: 7 bounces
Trial 376: 0 bounces
Trial 377: 6 bounces
Trial 378: 10 bounces
Trial 379: 16 bounces
Trial 380: 57 bounces
Trial 381: 5 bounces
Trial 382: 15 bounces
Trial 383: 5 bounces
Trial 384: 6 bounces
Trial 385: 54 bounces
Trial 386: 20 bounces
Trial 387: 36 bounces
Trial 388: 38 bounces
Trial 389: 2 bounces
Trial 390: 0 bounces
Trial 391: 0 bounces
Trial 392: 4 bounces
Trial 393: 10 bounces
Trial 394: 22 bounces
Trial 395: 16 bounces
Trial 396: 28 bounces
Trial 397: 0 bounces
Trial 398: 26 bounces
Trial 399: 32 bounces
Trial 400: 16 bounces
Trial 401: 10 bounces
Trial 402: 17 bounces
Trial 403: 2 bounces
Trial 404: 101 bounces
Trial 405: 0 bounces
Trial 406: 4 bounces
Trial 407: 73 bounces
Trial 408: 18 bounces
Trial 409: 31 bounces
Trial 410: 9 bounces
Trial 411: 0 bounces
Trial 412: 26 bounces
Trial 413: 23 bounces
Trial 414: 5 bounces
Trial 415: 11 bounces
Trial 416: 11 bounces
Trial 417: 6 bounces
Trial 418: 21 bounces
Trial 419: 38 bounces
Trial 420: 4 bounces
Trial 421: 13 bounces
Trial 422: 4 bounces
Trial 423: 11 bounces
Trial 424: 0 bounces
Trial 425: 7 bounces
Trial 426: 10 bounces
Trial 427: 6 bounces
Trial 428: 1 bounces
Trial 429: 15 bounces
Trial 430: 16 bounces
Trial 431: 13 bounces
Trial 432: 22 bounces
Trial 433: 11 bounces
Trial 434: 2 bounces
Trial 435: 20 bounces
Trial 436: 1 bounces
Trial 437: 10 bounces
Trial 438: 8 bounces
Trial 439: 36 bounces
Trial 440: 14 bounces
Trial 441: 16 bounces
Trial 442: 2 bounces
Trial 443: 10 bounces
Trial 444: 17 bounces
Trial 445: 15 bounces
Trial 446: 17 bounces
Trial 447: 4 bounces
Trial 448: 5 bounces
Trial 449: 0 bounces
Trial 450: 21 bounces
Trial 451: 9 bounces
Trial 452: 27 bounces
Trial 453: 39 bounces
Trial 454: 13 bounces
Trial 455: 2 bounces
Trial 456: 18 bounces
Trial 457: 5 bounces
Trial 458: 46 bounces
Trial 459: 27 bounces
Trial 460: 24 bounces
Trial 461: 4 bounces
Trial 462: 9 bounces
Trial 463: 10 bounces
Trial 464: 9 bounces
Trial 465: 0 bounces
Trial 466: 7 bounces
Trial 467: 12 bounces
Trial 468: 8 bounces
Trial 469: 22 bounces
Trial 470: 22 bounces
Trial 471: 0 bounces
Trial 472: 30 bounces
Trial 473: 3 bounces
Trial 474: 2 bounces
Trial 475: 28 bounces
Trial 476: 1 bounces
Trial 477: 27 bounces
Trial 478: 9 bounces
Trial 479: 10 bounces
Trial 480: 24 bounces
Trial 481: 15 bounces
Trial 482: 52 bounces
Trial 483: 7 bounces
Trial 484: 15 bounces
Trial 485: 10 bounces
Trial 486: 8 bounces
Trial 487: 10 bounces
Trial 488: 0 bounces
Trial 489: 0 bounces
Trial 490: 0 bounces
Trial 491: 19 bounces
Trial 492: 14 bounces
Trial 493: 9 bounces
Trial 494: 2 bounces
Trial 495: 2 bounces
Trial 496: 29 bounces
Trial 497: 14 bounces
Trial 498: 4 bounces
Trial 499: 6 bounces
Trial 500: 10 bounces
Trial 501: 49 bounces
Trial 502: 16 bounces
Trial 503: 24 bounces
Trial 504: 2 bounces
Trial 505: 22 bounces
Trial 506: 6 bounces
Trial 507: 24 bounces
Trial 508: 7 bounces
Trial 509: 8 bounces
Trial 510: 3 bounces
Trial 511: 1 bounces
Trial 512: 16 bounces
Trial 513: 6 bounces
Trial 514: 12 bounces
Trial 515: 10 bounces
Trial 516: 99 bounces
Trial 517: 8 bounces
Trial 518: 2 bounces
Trial 519: 40 bounces
Trial 520: 4 bounces
Trial 521: 32 bounces
Trial 522: 10 bounces
Trial 523: 6 bounces
Trial 524: 1 bounces
Trial 525: 5 bounces
Trial 526: 3 bounces
Trial 527: 0 bounces
Trial 528: 4 bounces
Trial 529: 11 bounces
Trial 530: 0 bounces
Trial 531: 2 bounces
Trial 532: 2 bounces
Trial 533: 0 bounces
Trial 534: 34 bounces
Trial 535: 0 bounces
Trial 536: 3 bounces
Trial 537: 3 bounces
Trial 538: 34 bounces
Trial 539: 7 bounces
Trial 540: 11 bounces
Trial 541: 20 bounces
Trial 542: 14 bounces
Trial 543: 22 bounces
Trial 544: 11 bounces
Trial 545: 26 bounces
Trial 546: 12 bounces
Trial 547: 20 bounces
Trial 548: 20 bounces
Trial 549: 0 bounces
Trial 550: 33 bounces
Trial 551: 34 bounces
Trial 552: 25 bounces
Trial 553: 20 bounces
Trial 554: 38 bounces
Trial 555: 9 bounces
Trial 556: 25 bounces
Trial 557: 48 bounces
Trial 558: 11 bounces
Trial 559: 0 bounces
Trial 560: 7 bounces
Trial 561: 25 bounces
Trial 562: 16 bounces
Trial 563: 9 bounces
Trial 564: 4 bounces
Trial 565: 28 bounces
Trial 566: 0 bounces
Trial 567: 2 bounces
Trial 568: 9 bounces
Trial 569: 21 bounces
Trial 570: 21 bounces
Trial 571: 0 bounces
Trial 572: 56 bounces
Trial 573: 19 bounces
Trial 574: 15 bounces
Trial 575: 25 bounces
Trial 576: 9 bounces
Trial 577: 14 bounces
Trial 578: 50 bounces
Trial 579: 12 bounces
Trial 580: 17 bounces
Trial 581: 20 bounces
Trial 582: 27 bounces
Trial 583: 36 bounces
Trial 584: 26 bounces
Trial 585: 18 bounces
Trial 586: 34 bounces
Trial 587: 9 bounces
Trial 588: 58 bounces
Trial 589: 7 bounces
Trial 590: 31 bounces
Trial 591: 16 bounces
Trial 592: 23 bounces
Trial 593: 14 bounces
Trial 594: 26 bounces
Trial 595: 9 bounces
Trial 596: 36 bounces
Trial 597: 25 bounces
Trial 598: 6 bounces
Trial 599: 10 bounces
Trial 600: 9 bounces
Trial 601: 4 bounces
Trial 602: 12 bounces
Trial 603: 24 bounces
Trial 604: 20 bounces
Trial 605: 13 bounces
Trial 606: 9 bounces
Trial 607: 10 bounces
Trial 608: 8 bounces
Trial 609: 3 bounces
Trial 610: 42 bounces
Trial 611: 24 bounces
Trial 612: 15 bounces
Trial 613: 7 bounces
Trial 614: 8 bounces
Trial 615: 20 bounces
Trial 616: 9 bounces
Trial 617: 41 bounces
Trial 618: 0 bounces
Trial 619: 8 bounces
Trial 620: 0 bounces
Trial 621: 6 bounces
Trial 622: 8 bounces
Trial 623: 0 bounces
Trial 624: 2 bounces
Trial 625: 0 bounces
Trial 626: 13 bounces
Trial 627: 13 bounces
Trial 628: 0 bounces
Trial 629: 19 bounces
Trial 630: 17 bounces
Trial 631: 2 bounces
Trial 632: 5 bounces
Trial 633: 29 bounces
Trial 634: 15 bounces
Trial 635: 0 bounces
Trial 636: 30 bounces
Trial 637: 20 bounces
Trial 638: 21 bounces
Trial 639: 7 bounces
Trial 640: 13 bounces
Trial 641: 6 bounces
Trial 642: 65 bounces
Trial 643: 9 bounces
Trial 644: 5 bounces
Trial 645: 5 bounces
Trial 646: 19 bounces
Trial 647: 6 bounces
Trial 648: 13 bounces
Trial 649: 46 bounces
Trial 650: 14 bounces
Trial 651: 11 bounces
Trial 652: 1 bounces
Trial 653: 14 bounces
Trial 654: 12 bounces
Trial 655: 3 bounces
Trial 656: 21 bounces
Trial 657: 14 bounces
Trial 658: 12 bounces
Trial 659: 12 bounces
Trial 660: 4 bounces
Trial 661: 23 bounces
Trial 662: 22 bounces
Trial 663: 8 bounces
Trial 664: 49 bounces
Trial 665: 10 bounces
Trial 666: 20 bounces
Trial 667: 33 bounces
Trial 668: 11 bounces
Trial 669: 2 bounces
Trial 670: 7 bounces
Trial 671: 21 bounces
Trial 672: 2 bounces
Trial 673: 4 bounces
Trial 674: 3 bounces
Trial 675: 26 bounces
Trial 676: 2 bounces
Trial 677: 22 bounces
Trial 678: 16 bounces
Trial 679: 21 bounces
Trial 680: 7 bounces
Trial 681: 0 bounces
Trial 682: 15 bounces
Trial 683: 9 bounces
Trial 684: 17 bounces
Trial 685: 5 bounces
Trial 686: 17 bounces
Trial 687: 59 bounces
Trial 688: 6 bounces
Trial 689: 8 bounces
Trial 690: 18 bounces
Trial 691: 40 bounces
Trial 692: 11 bounces
Trial 693: 27 bounces
Trial 694: 23 bounces
Trial 695: 15 bounces
Trial 696: 19 bounces
Trial 697: 3 bounces
Trial 698: 12 bounces
Trial 699: 6 bounces
Trial 700: 10 bounces
Trial 701: 1 bounces
Trial 702: 13 bounces
Trial 703: 12 bounces
Trial 704: 4 bounces
Trial 705: 22 bounces
Trial 706: 9 bounces
Trial 707: 2 bounces
Trial 708: 13 bounces
Trial 709: 3 bounces
Trial 710: 18 bounces
Trial 711: 6 bounces
Trial 712: 12 bounces
Trial 713: 32 bounces
Trial 714: 22 bounces
Trial 715: 12 bounces
Trial 716: 8 bounces
Trial 717: 22 bounces
Trial 718: 16 bounces
Trial 719: 1 bounces
Trial 720: 5 bounces
Trial 721: 22 bounces
Trial 722: 28 bounces
Trial 723: 12 bounces
Trial 724: 0 bounces
Trial 725: 17 bounces
Trial 726: 16 bounces
Trial 727: 19 bounces
Trial 728: 24 bounces
Trial 729: 17 bounces
Trial 730: 0 bounces
Trial 731: 21 bounces
Trial 732: 56 bounces
Trial 733: 8 bounces
Trial 734: 6 bounces
Trial 735: 8 bounces
Trial 736: 24 bounces
Trial 737: 0 bounces
Trial 738: 23 bounces
Trial 739: 6 bounces
Trial 740: 21 bounces
Trial 741: 17 bounces
Trial 742: 24 bounces
Trial 743: 0 bounces
Trial 744: 30 bounces
Trial 745: 33 bounces
Trial 746: 15 bounces
Trial 747: 39 bounces
Trial 748: 18 bounces
Trial 749: 4 bounces
Trial 750: 7 bounces
Trial 751: 10 bounces
Trial 752: 17 bounces
Trial 753: 15 bounces
Trial 754: 10 bounces
Trial 755: 9 bounces
Trial 756: 1 bounces
Trial 757: 2 bounces
Trial 758: 4 bounces
Trial 759: 13 bounces
Trial 760: 26 bounces
Trial 761: 15 bounces
Trial 762: 4 bounces
Trial 763: 57 bounces
Trial 764: 18 bounces
Trial 765: 35 bounces
Trial 766: 1 bounces
Trial 767: 32 bounces
Trial 768: 16 bounces
Trial 769: 3 bounces
Trial 770: 0 bounces
Trial 771: 59 bounces
Trial 772: 31 bounces
Trial 773: 29 bounces
Trial 774: 11 bounces
Trial 775: 1 bounces
Trial 776: 15 bounces
Trial 777: 18 bounces
Trial 778: 42 bounces
Trial 779: 7 bounces
Trial 780: 1 bounces
Trial 781: 11 bounces
Trial 782: 14 bounces
Trial 783: 27 bounces
Trial 784: 20 bounces
Trial 785: 3 bounces
Trial 786: 3 bounces
Trial 787: 28 bounces
Trial 788: 28 bounces
Trial 789: 6 bounces
Trial 790: 0 bounces
Trial 791: 18 bounces
Trial 792: 41 bounces
Trial 793: 6 bounces
Trial 794: 11 bounces
Trial 795: 0 bounces
Trial 796: 8 bounces
Trial 797: 2 bounces
Trial 798: 5 bounces
Trial 799: 4 bounces
Trial 800: 0 bounces
Trial 801: 11 bounces
Trial 802: 8 bounces
Trial 803: 37 bounces
Trial 804: 29 bounces
Trial 805: 2 bounces
Trial 806: 2 bounces
Trial 807: 37 bounces
Trial 808: 0 bounces
Trial 809: 3 bounces
Trial 810: 24 bounces
Trial 811: 0 bounces
Trial 812: 12 bounces
Trial 813: 3 bounces
Trial 814: 14 bounces
Trial 815: 19 bounces
Trial 816: 3 bounces
Trial 817: 23 bounces
Trial 818: 10 bounces
Trial 819: 23 bounces
Trial 820: 9 bounces
Trial 821: 16 bounces
Trial 822: 13 bounces
Trial 823: 3 bounces
Trial 824: 14 bounces
Trial 825: 12 bounces
Trial 826: 10 bounces
Trial 827: 17 bounces
Trial 828: 18 bounces
Trial 829: 77 bounces
Trial 830: 9 bounces
Trial 831: 23 bounces
Trial 832: 2 bounces
Trial 833: 3 bounces
Trial 834: 7 bounces
Trial 835: 24 bounces
Trial 836: 17 bounces
Trial 837: 15 bounces
Trial 838: 35 bounces
Trial 839: 31 bounces
Trial 840: 12 bounces
Trial 841: 22 bounces
Trial 842: 2 bounces
Trial 843: 18 bounces
Trial 844: 25 bounces
Trial 845: 3 bounces
Trial 846: 9 bounces
Trial 847: 0 bounces
Trial 848: 9 bounces
Trial 849: 11 bounces
Trial 850: 30 bounces
Trial 851: 10 bounces
Trial 852: 2 bounces
Trial 853: 0 bounces
Trial 854: 2 bounces
Trial 855: 18 bounces
Trial 856: 2 bounces
Trial 857: 12 bounces
Trial 858: 17 bounces
Trial 859: 12 bounces
Trial 860: 6 bounces
Trial 861: 24 bounces
Trial 862: 14 bounces
Trial 863: 22 bounces
Trial 864: 7 bounces
Trial 865: 46 bounces
Trial 866: 0 bounces
Trial 867: 10 bounces
Trial 868: 13 bounces
Trial 869: 2 bounces
Trial 870: 6 bounces
Trial 871: 11 bounces
Trial 872: 34 bounces
Trial 873: 18 bounces
Trial 874: 5 bounces
Trial 875: 26 bounces
Trial 876: 35 bounces
Trial 877: 15 bounces
Trial 878: 4 bounces
Trial 879: 20 bounces
Trial 880: 1 bounces
Trial 881: 8 bounces
Trial 882: 22 bounces
Trial 883: 6 bounces
Trial 884: 5 bounces
Trial 885: 5 bounces
Trial 886: 25 bounces
Trial 887: 37 bounces
Trial 888: 0 bounces
Trial 889: 15 bounces
Trial 890: 2 bounces
Trial 891: 0 bounces
Trial 892: 12 bounces
Trial 893: 0 bounces
Trial 894: 25 bounces
Trial 895: 1 bounces
Trial 896: 9 bounces
Trial 897: 4 bounces
Trial 898: 55 bounces
Trial 899: 6 bounces
Trial 900: 30 bounces
Trial 901: 25 bounces
Trial 902: 0 bounces
Trial 903: 12 bounces
Trial 904: 29 bounces
Trial 905: 3 bounces
Trial 906: 16 bounces
Trial 907: 25 bounces
Trial 908: 18 bounces
Trial 909: 25 bounces
Trial 910: 52 bounces
Trial 911: 6 bounces
Trial 912: 19 bounces
Trial 913: 2 bounces
Trial 914: 9 bounces
Trial 915: 15 bounces
Trial 916: 21 bounces
Trial 917: 18 bounces
Trial 918: 23 bounces
Trial 919: 28 bounces
Trial 920: 17 bounces
Trial 921: 0 bounces
Trial 922: 11 bounces
Trial 923: 9 bounces
Trial 924: 48 bounces
Trial 925: 30 bounces
Trial 926: 8 bounces
Trial 927: 4 bounces
Trial 928: 26 bounces
Trial 929: 36 bounces
Trial 930: 11 bounces
Trial 931: 6 bounces
Trial 932: 19 bounces
Trial 933: 23 bounces
Trial 934: 5 bounces
Trial 935: 22 bounces
Trial 936: 0 bounces
Trial 937: 2 bounces
Trial 938: 2 bounces
Trial 939: 13 bounces
Trial 940: 16 bounces
Trial 941: 29 bounces
Trial 942: 13 bounces
Trial 943: 33 bounces
Trial 944: 11 bounces
Trial 945: 8 bounces
Trial 946: 29 bounces
Trial 947: 9 bounces
Trial 948: 6 bounces
Trial 949: 58 bounces
Trial 950: 51 bounces
Trial 951: 55 bounces
Trial 952: 0 bounces
Trial 953: 19 bounces
Trial 954: 0 bounces
Trial 955: 13 bounces
Trial 956: 6 bounces
Trial 957: 0 bounces
Trial 958: 10 bounces
Trial 959: 25 bounces
Trial 960: 0 bounces
Trial 961: 4 bounces
Trial 962: 30 bounces
Trial 963: 12 bounces
Trial 964: 9 bounces
Trial 965: 9 bounces
Trial 966: 1 bounces
Trial 967: 47 bounces
Trial 968: 14 bounces
Trial 969: 0 bounces
Trial 970: 12 bounces
Trial 971: 28 bounces
Trial 972: 15 bounces
Trial 973: 24 bounces
Trial 974: 0 bounces
Trial 975: 4 bounces
Trial 976: 0 bounces
Trial 977: 5 bounces
Trial 978: 8 bounces
Trial 979: 0 bounces
Trial 980: 14 bounces
Trial 981: 2 bounces
Trial 982: 17 bounces
Trial 983: 2 bounces
Trial 984: 18 bounces
Trial 985: 10 bounces
Trial 986: 5 bounces
Trial 987: 4 bounces
Trial 988: 17 bounces
Trial 989: 0 bounces
Trial 990: 0 bounces
Trial 991: 3 bounces
Trial 992: 4 bounces
Trial 993: 4 bounces
Trial 994: 10 bounces
Trial 995: 40 bounces
Trial 996: 0 bounces
Trial 997: 11 bounces
Trial 998: 38 bounces
Trial 999: 35 bounces
Trial 1000: 0 bounces
Trial 1001: 3 bounces
Trial 1002: 2 bounces
Trial 1003: 17 bounces
Trial 1004: 19 bounces
Trial 1005: 37 bounces
Trial 1006: 9 bounces
Trial 1007: 6 bounces
Trial 1008: 5 bounces
Trial 1009: 32 bounces
Trial 1010: 1 bounces
Trial 1011: 2 bounces
Trial 1012: 5 bounces
Trial 1013: 66 bounces
Trial 1014: 46 bounces
Trial 1015: 8 bounces
Trial 1016: 14 bounces
Trial 1017: 40 bounces
Trial 1018: 0 bounces
Trial 1019: 12 bounces
Trial 1020: 2 bounces
Trial 1021: 12 bounces
Trial 1022: 31 bounces
Trial 1023: 8 bounces
Trial 1024: 22 bounces
Trial 1025: 37 bounces
Trial 1026: 0 bounces
Trial 1027: 47 bounces
Trial 1028: 4 bounces
Trial 1029: 62 bounces
Trial 1030: 11 bounces
Trial 1031: 8 bounces
Trial 1032: 13 bounces
Trial 1033: 3 bounces
Trial 1034: 9 bounces
Trial 1035: 10 bounces
Trial 1036: 7 bounces
Trial 1037: 10 bounces
Trial 1038: 25 bounces
Trial 1039: 4 bounces
Trial 1040: 8 bounces
Trial 1041: 0 bounces
Trial 1042: 7 bounces
Trial 1043: 13 bounces
Trial 1044: 2 bounces
Trial 1045: 11 bounces
Trial 1046: 8 bounces
Trial 1047: 15 bounces
Trial 1048: 3 bounces
Trial 1049: 4 bounces
Trial 1050: 1 bounces
Trial 1051: 24 bounces
Trial 1052: 23 bounces
Trial 1053: 11 bounces
Trial 1054: 1 bounces
Trial 1055: 8 bounces
Trial 1056: 3 bounces
Trial 1057: 26 bounces
Trial 1058: 42 bounces
Trial 1059: 46 bounces
Trial 1060: 14 bounces
Trial 1061: 13 bounces
Trial 1062: 38 bounces
Trial 1063: 26 bounces
Trial 1064: 9 bounces
Trial 1065: 32 bounces
Trial 1066: 6 bounces
Trial 1067: 15 bounces
